
printing unique entries in spam set

printing unique entries in normal set
109110
89512

printing unique entries in spam set
a [43, 0.00039409769956924204]
aa [3, 2.7495188342040142e-05]
aaa [9, 8.248556502612044e-05]
aaarghh [1, 9.165062780680048e-06]
aaccess [1, 9.165062780680048e-06]
aad [1, 9.165062780680048e-06]
aafter [1, 9.165062780680048e-06]
aback [1, 9.165062780680048e-06]
abank [1, 9.165062780680048e-06]
abc [8, 7.332050224544038e-05]
abduction [1, 9.165062780680048e-06]
abijggccndoqggwgwayikkpzgaq [1, 9.165062780680048e-06]
ability [26, 0.00023829163229768124]
abillity [1, 9.165062780680048e-06]
able [67, 0.0006140592063055632]
ablead [1, 9.165062780680048e-06]
aboard [2, 1.8330125561360096e-05]
abou [1, 9.165062780680048e-06]
about [1, 9.165062780680048e-06]
above [79, 0.0007240399596737237]
abrg [4, 3.666025112272019e-05]
absolute [5, 4.582531390340024e-05]
absolutely [53, 0.00048574832737604255]
absolutly [1, 9.165062780680048e-06]
absorption [1, 9.165062780680048e-06]
abuse [10, 9.165062780680047e-05]
aby [1, 9.165062780680048e-06]
ac [16, 0.00014664100449088077]
academic [1, 9.165062780680048e-06]
academy [1, 9.165062780680048e-06]
accelerate [7, 6.415543946476033e-05]
accept [65, 0.0005957290807442031]
acceptance [5, 4.582531390340024e-05]
accepted [8, 7.332050224544038e-05]
access [76, 0.0006965447713316836]
accessible [13, 0.00011914581614884062]
acclaim [3, 2.7495188342040142e-05]
accommodate [4, 3.666025112272019e-05]
accommodation [2, 1.8330125561360096e-05]
accomodation [1, 9.165062780680048e-06]
accompanying [1, 9.165062780680048e-06]
accomplish [4, 3.666025112272019e-05]
accomplishment [2, 1.8330125561360096e-05]
accord [2, 1.8330125561360096e-05]
accordingly [3, 2.7495188342040142e-05]
account [91, 0.0008340207130418843]
accountant [16, 0.00014664100449088077]
accounts [1, 9.165062780680048e-06]
accredit [3, 2.7495188342040142e-05]
accrue [1, 9.165062780680048e-06]
acct [1, 9.165062780680048e-06]
accumulate [2, 1.8330125561360096e-05]
accuracy [5, 4.582531390340024e-05]
accurate [5, 4.582531390340024e-05]
accurately [27, 0.0002474566950783613]
accutrak [1, 9.165062780680048e-06]
ace [2, 1.8330125561360096e-05]
acehiseygceqegsggmxehseeohcjrcekvkedkhejxkeksefopcgsxceop [1, 9.165062780680048e-06]
acgom [1, 9.165062780680048e-06]
ache [1, 9.165062780680048e-06]
acheck [1, 9.165062780680048e-06]
achievable [1, 9.165062780680048e-06]
achieve [25, 0.0002291265695170012]
achievement [2, 1.8330125561360096e-05]
acid [1, 9.165062780680048e-06]
acknowledgement [2, 1.8330125561360096e-05]
aclaim [1, 9.165062780680048e-06]
acould [1, 9.165062780680048e-06]
acquaintance [3, 2.7495188342040142e-05]
acquire [24, 0.00021996150673632113]
acquisition [6, 5.4990376684080284e-05]
acreage [1, 9.165062780680048e-06]
acronym [1, 9.165062780680048e-06]
across [21, 0.000192466318394281]
act [25, 0.0002291265695170012]
acting [1, 9.165062780680048e-06]
action [53, 0.00048574832737604255]
activate [1, 9.165062780680048e-06]
active [4, 3.666025112272019e-05]
actively [3, 2.7495188342040142e-05]
activity [17, 0.0001558060672715608]
actor [1, 9.165062780680048e-06]
actual [17, 0.0001558060672715608]
actually [40, 0.0003666025112272019]
acura [1, 9.165062780680048e-06]
ad [128, 0.0011731280359270461]
adam [3, 2.7495188342040142e-05]
adams [1, 9.165062780680048e-06]
adapt [1, 9.165062780680048e-06]
adapter [2, 1.8330125561360096e-05]
add [157, 0.0014389148565667675]
